Item,Description,Duration,Preceding Works
A,Plan the event (Event Coordinator),5,
B,Select products (Purchaser),4,
C,Design promotional materials (Graphic Designer),8,"A, B"
D,Coordinate with suppliers (Purchaser),5,C
E,Prepare email content (Marketing),4,C
F,Print promotional materials (Printer),4,"D, E"
G,Assemble email campaign (Marketing),3,C
H,Distribute promotional materials (Retail Staff),3,"F, G"
I,Launch email campaign (Marketing),1,G
J,Execute promotional event (Retail Staff),2,H
